,Rank,Gemeinde,forest_score,family_score,wiki_score,accident_score,street_score,final_score
0,1,Furna,80.1601041282902,93.11744702896655,41.26371528926096,100.0,42.64608556687629,77.7
1,2,Sufers,79.34527073700839,94.00878064732605,44.760416776809635,52.33590002643181,43.43706937788577,74.9
2,3,Safiental,76.06208177746547,64.25608652440823,27.664707329800507,46.646152611521075,59.90469214398085,65.7
3,4,Flerden,40.11047709657966,100.0,43.58991170845926,68.04420786412517,41.26371528926096,64.8
4,5,Valsot,78.28708323553145,53.325308372119586,35.09708327118936,45.5890624300356,60.32811858739792,62.4
5,6,Zernez,79.77328153191456,51.94875429918242,54.68323061409811,30.289851988234886,61.73842176425132,61.9
6,7,Rongellen,61.76664607028453,74.6259018748211,35.85834040818134,60.77257763119216,33.20924064852975,60.0
7,8,Poschiavo,56.32156291946922,59.77334258004142,64.14165959087775,37.16011689138731,65.77101163382255,58.5
8,9,Bergün Filisur,78.20436621241923,41.65071961112429,37.16011689044636,51.343539409682414,56.10914082542935,57.4
9,10,Avers,67.2865803343036,54.18284843993937,53.096268370870874,65.32136346933028,46.123466554181675,57.4
10,11,Muntogna da Schons,62.33482821563304,55.88459938070451,38.75867525432343,57.85318656382186,50.24351355304282,56.7
11,12,Scuol,60.26960211422213,49.16066505359552,62.8398831086127,37.730965521366464,69.71014801176516,56.7
12,13,Luzein,50.210381842641674,64.22703760698869,53.353847388478925,42.64608556781723,56.87372166830245,56.5
13,14,Lostallo,69.88597361240956,46.75923983436856,49.63468085428866,53.483533211058756,52.84089210490823,56.1
14,15,Rhäzüns,35.398989512958096,80.87623560740907,48.90192459563228,55.81406128204788,45.04066830106971,56.1
15,16,Rheinwald,67.96652887844236,42.527234543347774,30.289851987293915,50.85332486050111,64.14165959087774,56.0
16,17,Seewis im Prättigau,49.54590050318905,65.01602166512438,60.3281185873979,55.239583223190365,48.9019245956323,55.7
17,18,Andeer,60.30428824909861,55.91577398815522,59.49964598081809,44.18593871889304,51.343539408741485,55.6
18,19,Tschappina,75.7214039968379,48.40217049279056,40.88921178376003,65.32136346933028,35.09708327118936,55.5
19,20,Domleschg,46.42775876905461,61.401796845915804,47.15910789415085,51.343539409682414,56.87372166830245,54.7
20,21,Conters im Prättigau,69.72572356447483,71.58003347812132,41.6254163961269,68.04420786412517,0.0,54.7
21,22,Bregaglia,68.48544954914918,42.19020015460412,42.96816912198535,44.47564248341085,58.55392146923825,54.6
22,23,S-chanf,70.52309662746693,44.98466317847587,49.87825298138487,46.25515470372276,49.63468085428866,54.5
23,24,Zillis-Reischen,64.11720579210217,49.43720198390071,45.857863694200894,58.921845049083025,46.516466788941244,54.2
24,25,Sils im Domleschg,38.1131134038081,75.3903269424312,45.04066830106971,45.04066830201063,44.039100522321235,54.0
25,26,Albula/Alvra,67.90491787366533,39.54681322200228,60.772577630251234,42.14681343711906,60.772577630251234,53.9
26,27,Schiers,45.80598707484828,62.1954752829067,51.09807540342678,42.96816912292627,54.4109375699644,53.8
27,28,Scharans,47.87439204623172,65.47235761516009,44.18593871795212,62.26903447957446,39.67188141166116,53.6
28,29,Grüsch,43.817173598781615,61.56503234242637,52.08588519676433,52.96831856786522,53.353847388478925,53.3
29,30,Ilanz/Glion,46.25469886524763,52.239124379325176,33.20924064852975,43.58991170940019,68.04420786318425,53.0
30,31,Trimmis,35.420528919381894,66.86853529628378,47.66409997356819,45.31676938590189,54.95933169798937,52.3
31,32,Fideris,48.88820461324797,57.33712703289137,50.85332485956019,49.8782529823258,48.53340957505875,52.1
32,33,Breil/Brigels,50.82047853305206,51.5655481720082,56.10914082542935,39.8152187044023,58.02435880742494,52.0
33,34,Masein,30.474480090005937,78.31152369443025,39.67188141166116,56.10914082637027,38.26157823480776,52.0
34,35,Tamins,54.9354043406095,54.10347408784318,37.73096552042554,55.239583223190365,42.96816912198535,51.8
35,36,Roveredo,47.55033526674907,56.927341119967394,52.335900025490886,48.656460591258515,48.9019245956323,51.5
36,37,Val Müstair,69.35165731902926,32.04361608202575,45.58906242909468,42.14681343711906,60.772577630251234,51.4
37,38,Zuoz,33.78481844190517,69.25821561042969,58.02435880742494,46.25515470372276,46.516466788941244,51.0
38,39,Untervaz,32.533089459169084,69.07332548373707,43.28255090875103,52.96831856786522,45.04066830106971,50.5
39,40,Mesocco,63.38926774123296,33.020923752395,51.83727256655367,34.22898836617745,64.90291672786971,50.3
40,41,Soazza,84.89861405959698,20.908350786931713,43.89085917362973,49.8782529823258,49.39087410368301,50.3
41,42,Felsberg,18.510413567830827,81.26675358472379,54.4109375699644,58.921845049083025,41.97564119163414,50.3
42,43,Sumvitg,63.36921487728971,35.956882677762174,49.39087410368301,55.239583223190365,53.876533444877396,50.3
43,44,Cazis,32.606295140831236,62.769799802086,48.4101179565031,41.44607853076175,57.35391443218279,50.2
44,45,Brusio,60.60064360030649,39.99843669643479,57.35391443218279,51.8372725674946,50.85332485956019,50.1
45,46,Obersaxen Mundaun,52.66553400167536,42.94653406971175,0.0,57.85318656382186,57.68446700549004,49.9
46,47,Jenaz,43.38255517087442,56.7082955214365,46.12346655418167,54.41093757090532,44.039100522321235,49.3
47,48,Grono,54.109987700098095,43.31624963018434,53.61385569317658,48.656460591258515,51.09807540342678,49.0
48,49,Surses,62.471615688444224,29.14469383038633,50.1217470176742,35.09708327213029,66.79075935052926,48.9
49,50,Lumnezia,55.82229527508174,32.9508350593342,57.03183087707373,54.41093757090532,63.143087460973014,48.7
50,51,Madulain,47.56218174461281,55.55870930078372,46.64615261058015,57.85318656382186,36.20785689584829,48.7
51,52,Ferrera,98.8195914613867,6.723087259774515,34.22898836523654,62.26903447957446,42.64608556687629,48.7
52,53,Calanca,90.17139206195226,11.886788687591629,31.955792135874827,57.85318656382186,47.2860374747263,48.5
53,54,Disentis/Mustér,46.98449724371615,45.83111124692154,58.37458360293218,45.04066830201063,55.23958322224944,48.4
54,55,Cama,54.22550679575541,43.77696651320509,46.90373162818821,59.90469214492176,44.039100522321235,48.3
55,56,Vals,59.7262605449938,32.548173141282454,59.90469214398085,62.26903447957446,52.587504018810236,48.1
56,57,Sagogn,34.584693742207946,64.40123593626483,65.77101163382252,50.85332486050111,37.16011689044636,47.8
57,58,Trin,41.726225240455,51.937076674570775,48.1627274325054,56.71744909124897,47.2860374747263,47.8
58,59,Rothenbrunnen,38.60953611076534,59.47261553521729,55.239583222249436,49.14667514043981,40.500354018241,47.8
59,60,Falera,39.206840189046815,54.956456165106154,58.73628470979812,62.26903447957446,43.43706937788577,47.8
60,61,Medel (Lucmagn),79.95022159334157,16.527791640977465,52.84089210490823,46.903731629129126,53.353847388478925,47.8
61,62,Trun,53.31155803053135,40.16561048542237,52.587504018810236,54.41093757090532,47.2860374747263,47.1
62,63,Bonaduz,20.585897821678746,66.45543051140639,50.60912589537607,50.36531914571134,48.53340957505875,46.3
63,64,Fläsch,45.532686355729346,44.81178840879749,54.142136304858184,54.41093757090532,45.857863694200894,46.0
64,65,Davos,35.2239242699312,42.24949565731859,72.33529266925858,27.66470733074142,72.33529266925858,45.9
65,66,Lantsch/Lenz,51.350601679679095,39.818057379879846,50.365319144770424,52.08588519770525,45.58906242909468,45.8
66,67,Rossa,99.99999999999999,0.0,40.09530785507824,59.90469214492176,39.67188141166116,45.8
67,68,Tujetsch,51.42420579479714,35.38277301859903,51.58988204255598,40.889211784700954,56.41008829059981,45.8
68,69,Klosters,44.56088583419237,34.746796185948654,61.73842176425132,38.26157823574868,63.143087460973014,44.7
69,70,Churwalden,45.2687446316801,39.382346481222406,54.95933169798937,43.890859174570664,52.08588519676433,44.6
70,71,Urmein,48.631974177402235,41.327239071387375,36.540048363390234,65.32136346933028,38.26157823480776,44.5
71,72,Domat/Ems,12.191966003436782,65.9113418388328,55.52435751658915,31.955792136815745,58.55392146923825,44.4
72,73,Jenins,32.020818938511006,54.824135334646634,42.315532993569036,59.90469214492176,40.500354018241,44.4
73,74,San Vittore,55.65496671458307,30.255123963619162,47.412495980248835,52.96831856786522,47.2860374747263,44.0
74,75,Vaz/Obervaz,36.00564045188451,41.293777687983365,68.04420786318425,43.58991170940019,59.49964598081809,44.0
75,76,Sils im Engadin/Segl,45.31490896613062,40.981610902089635,57.68446700549002,41.44607853076175,47.2860374747263,44.0
76,77,Maienfeld,25.741980499887436,51.77197030206764,59.110788215299,33.20924064947104,59.11078821529904,43.7
77,78,Buseno,89.50125716017509,2.895793712703246,49.14667513949889,62.26903447957446,38.26157823480776,43.4
78,79,Samnaun,42.83602893052649,37.699699584866686,62.26903447863347,47.412495981189764,50.24351355304282,43.0
79,80,Arosa,51.41654476357973,24.165665448124212,69.71014801176514,40.50035401918191,62.269034478633536,43.0
80,81,La Punt Chamues-ch,52.57190179673946,26.48299336643843,56.41008829059981,56.71744909124897,48.53340957505875,42.1
81,82,Malans,16.632798023853468,61.04020165419349,53.876533444877396,47.91411480323567,45.04066830106971,42.0
82,83,Thusis,24.23207862669213,51.02211009149959,56.71744909030805,39.8152187044023,52.08588519676433,41.8
83,84,Pontresina,32.630809150104355,42.445892340577295,55.81406128110696,35.85834040912246,53.353847388478925,41.3
84,85,Santa Maria in Calanca,79.89189101683331,3.340152743242145,38.26157823480776,100.0,29.1693968846378,40.7
85,86,Zizers,7.083763957797301,60.138969397537934,51.343539408741485,39.227422369748766,55.52435751658915,40.3
86,87,Küblis,29.40509267494435,47.28269579562931,44.47564248246994,49.39087410462393,41.6254163961269,40.3
87,88,Schmitten (GR),65.32685013256499,19.62969649569779,41.975641191634146,48.656460591258515,33.20924064852975,39.7
88,89,Samedan,27.415506596626727,41.342752910953664,61.24132474473565,46.25515470372276,51.83727256655367,39.6
89,90,Schluein,30.23543729171402,43.394438744883715,39.22742236880784,51.5898820434969,39.67188141166116,38.7
90,91,Bever,47.57194074741785,29.032084712591608,63.45995163566886,53.483533211058756,36.20785689584829,38.6
91,92,Landquart,3.2040216436519793,59.15429617210029,40.500354018241,36.54004836433108,55.81406128110696,38.4
92,93,Celerina/Schlarigna,32.4354520733725,32.95809322713725,47.91411480229475,47.91411480323567,51.343539408741485,37.9
93,94,Flims,32.495772657029555,29.027013532541503,64.90291672786971,48.656460591258515,54.4109375699644,37.4
94,95,Castaneda,48.10075577575364,27.059685742020587,42.64608556687629,68.04420786412517,29.1693968846378,37.2
95,96,Chur,0.0,36.97246154863509,100.0,0.0,100.0,36.9
96,97,Laax,33.17444932358387,29.962415191413942,45.31676938496096,50.12174701861513,49.87825298138487,36.8
97,98,Fürstenau,7.412653580311037,60.71062356033391,46.386144305882496,56.71744909124897,31.955792135874827,36.5
98,99,Silvaplana,35.05498549418822,20.933407406111197,48.656460590317586,47.412495981189764,50.24351355304282,34.0
99,100,St. Moritz,6.69095459027189,26.11259849961168,66.79075935052934,38.75867525526438,53.876533444877396,27.1
